category,category_name
1012300,Single Malt Scotch
1011600,Straight Rye Whiskies
1901200,Special Order Items
1081500,Triple Sec
1062100,Gold Rum
1011700,Corn Whiskies
1062300,Aged Dark Rum
1091100,American Distilled Spirit Specialty
1091300,Neutral Grain Spirits Flavored
1091200,Neutral Grain Spirits
1041300,American Sloe Gins
1081100,Coffee Liqueurs
1070000,Cocktails / RTD
1700000,Temporary &  Specialty Packages
1092100,Imported Distilled Spirit Specialty
1011300,Single Barrel Bourbon Whiskies
1011500,Bottled in Bond Bourbon
,
1031000,American Vodka
1082100,Imported Cordials & Liqueur
1022300,Mezcal
1032000,Imported Vodka
1081000,American Cordials & Liqueurs
1041200,Flavored Gin
1070100,Temporary  & Specialty Packages
1011800,Iowa Distillery Whiskies
1091000,American Distilled Spirits Specialty
1062200,White Rum
1062400,Spiced Rum
1062500,Flavored Rum
1022100,Mixto Tequila
1071100,Cocktails /RTD
1081200,Cream Liqueurs
1012400,Irish Whiskies
1031100,American Vodkas
1032100,Imported Vodkas
1012200,Scotch Whiskies
1081600,Whiskey Liqueur
1011100,Blended Whiskies
1051100,American Brandies
1041100,American Dry Gins
1081400,American Schnapps
1012100,Canadian Whiskies
1052100,Imported Brandies
1042100,Imported Dry Gins
1082200,Imported Schnapps
1022200,100% Agave Tequila
1011400,Tennessee Whiskies
1031200,American Flavored Vodka
1032200,Imported Flavored Vodka
1011200,Straight Bourbon Whiskies
1081300,American Cordials & Liqueur
1082000,Imported Cordials & Liqueurs
1701100,Temporary & Specialty Packages
1092000,Imported Distilled Spirits Specialty
1090000,Distilled Spirits Specialty
1900000,Delisted / Special Order Items
1042000,Imported Gins
